path,similarity.max_token_overlap_ratio,validation.dup_candidate_threshold,validation.dup_candidate_warn_max_share
lanes/lane_21_rewrite/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_22_translate/lane_de.yaml,0.3,0.3,0.35
lanes/lane_22_translate/lane_en.yaml,0.3,0.3,0.35
lanes/lane_22_translate/lane_es.yaml,0.3,0.3,0.35
lanes/lane_22_translate/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_22_translate/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_22_translate/lane_it.yaml,0.3,0.3,0.35
lanes/lane_22_translate/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_22_translate/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_22_translate/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_22_translate/lane_th.yaml,0.3,0.3,0.35
lanes/lane_22_translate/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_22_translate/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_22_translate/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_22_translate/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_23_grammar_fix/lane_de.yaml,0.3,0.3,0.35
lanes/lane_23_grammar_fix/lane_en.yaml,0.3,0.3,0.35
lanes/lane_23_grammar_fix/lane_es.yaml,0.3,0.3,0.35
lanes/lane_23_grammar_fix/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_23_grammar_fix/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_23_grammar_fix/lane_it.yaml,0.3,0.3,0.35
lanes/lane_23_grammar_fix/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_23_grammar_fix/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_23_grammar_fix/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_23_grammar_fix/lane_th.yaml,0.3,0.3,0.35
lanes/lane_23_grammar_fix/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_23_grammar_fix/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_23_grammar_fix/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_23_grammar_fix/lane_zh-hk.yaml,0.3,0.3,0.35
